,0
22,COc1cc(ccc1Nc1ncc(Cl)c(Nc2ccccc2P(C)(C)=O)n1)N1CCN(CC1)C(C)=O
23,COc1cc(ccc1Nc1ncc(Cl)c(Nc2ccccc2S(=O)(=O)C(C)C)n1)C(C)(C)O
24,COc1cc(ccc1Nc1ncc(Cl)c(Nc2ccccc2S(=O)(=O)C(C)C)n1)C(N)=O
25,COc1cc(ccc1Nc1ncc(Cl)c(Nc2ccccc2S(=O)(=O)C(C)C)n1)C(=O)N1CCOCC1
26,COc1cc(ccc1Nc1ncc(Cl)c(Nc2ccccc2P(C)(C)=O)n1)N1CCN(C)CC1
27,COc1cc(ccc1Nc1ncc(Cl)c(Nc2ccccc2C(C)=O)n1)N1CCN(CC1)C(C)=O
28,COc1cc(ccc1Nc1ncc(Cl)c(Nc2ccccc2P(C)(C)=O)n1)C(F)(F)F
29,COc1cc(ccc1Nc1ncc(Cl)c(Nc2ccccc2S(=O)(=O)C(C)C)n1)C(C)(C)C
30,COc1cc(ccc1Nc1ncc(Cl)c(Nc2ccccc2C(N)=O)n1)N1CCN(CC1)C(C)=O
31,COc1cc(ccc1Nc1ncc(Cl)c(Nc2ccccc2P(C)(C)=O)n1)C(=O)NC1CCN(C)CC1
32,COc1cc(ccc1Nc1ncc(Cl)c(Nc2ccccc2S(=O)(=O)C(C)C)n1)N1CCOCC1
33,COc1cc(ccc1Nc1ncc(Cl)c(Nc2ccccc2C(=O)NC)n1)N1CCN(CC1)C(C)=O
34,COc1cc(ccc1Nc1ncc(Cl)c(Nc2ccccc2S(=O)(=O)C(C)C)n1)C(C)C
35,COc1cc(ccc1Nc1ncc(Cl)c(Nc2ccccc2S(=O)(=O)C(C)C)n1)C(=O)NC1CC1
36,COc1cc(ccc1Nc1ncc(Cl)c(Nc2ccccc2P(C)(C)=O)n1)N1CCC(CC1)N1CCOCC1
37,COc1cc(ccc1Nc1ncc(Cl)c(Nc2ccccc2C(C)=O)n1)N1CCN(C)CC1
38,COc1cc(ccc1Nc1ncc(Cl)c(Nc2ccccc2P(C)(C)=O)n1)C(=O)N1CCOCC1
39,COc1cc(ccc1Nc1ncc(Cl)c(Nc2ccccc2S(=O)(=O)C(C)C)n1)-n1cccn1
40,C1CN(CCN1)c1ccc(cc1)-c1cnc2c(cnn2c1)-c1ccnc2ccccc12
41,C1CN(CCN1)c1ccc(cc1)-c1cnc2c(cnn2c1)-c1cccc2ncccc12
42,C1CN(CCN1)c1ccc(cc1)-c1cnc2c(cnn2c1)-c1cccc2ccccc12
43,C1CN(CCN1)c1ccc(cn1)-c1cnc2c(cnn2c1)-c1cccc2ncccc12
44,C1CN(CCN1)c1ccc(cn1)-c1cnc2c(cnn2c1)-c1ccnc2ccccc12
45,C1CN(CCN1)c1ccc(cn1)-c1cnc2c(cnn2c1)-c1cccc2ccccc12
46,CN1CCN(CC1)c1ccc(cc1)-c1cnc2c(cnn2c1)-c1ccnc2ccccc12
47,CN1CCN(CC1)c1ccc(cc1)-c1cnc2c(cnn2c1)-c1cccc2ncccc12
48,C1CN(CCN1)c1ccc(cc1)-c1cnc2c(cnn2c1)-c1cccc2ccncc12
49,COc1cc(cc(OC)c1OC)-c1cnc2c(cnn2c1)-c1ccnc2ccccc12
50,C1CN(CCN1)c1ccc(cc1)-c1cnc2c(cnn2c1)-c1cccc2cnccc12
51,C1CN(CCN1)c1cccc(c1)-c1cnc2c(cnn2c1)-c1ccnc2ccccc12
52,C1CN(CCN1)c1ccc(cc1)-c1cnc2c(cnn2c1)-c1cccc2cccnc12
53,C1CN(CCN1)c1cccc(c1)-c1cnc2c(cnn2c1)-c1cccc2ncccc12
54,CN1CCN(CC1)c1ccc(cc1)-c1cnc2c(cnn2c1)-c1cccc2ccccc12
55,C1CN(CCN1)c1ccc(cc1)-c1cnc2c(cnn2c1)-c1ccccc1
56,CNC(=O)c1ccc(cc1)-c1cnc2c(cnn2c1)-c1ccnc2ccccc12
57,COc1cc(cc(OC)c1OC)-c1cnc2c(cnn2c1)-c1cccc2ncccc12
58,CNC(=O)c1ccc(cc1)-c1cnc2c(cnn2c1)-c1cccc2ncccc12
59,COc1cc(ccc1N)-c1cnc2c(cnn2c1)-c1ccnc2ccccc12
60,CCc1nc(N)nc(N)c1-c1ccc(Cl)c(Cl)c1
61,CCc1nc(N)nc(N)c1-c1ccc(Cl)c(c1)[N+]([O-])=O
62,CCc1nc(N)nc(N)c1-c1ccc(Cl)c(c1)C(F)(F)F
63,Nc1nc(N)c2nc(CNc3ccc(Cl)cc3)ccc2n1
64,CCc1nc(N)nc(N)c1-c1ccc(Cl)cc1
65,Nc1nc(N)c2nc(CNc3ccc(Cl)c(Cl)c3)ccc2n1
66,CN(Cc1cnc2nc(N)nc(N)c2c1C)c1ccc(Cl)c(Cl)c1
67,CC1(C)N=C(N)N=C(N)N1c1ccc(Cl)c(Cl)c1
68,CC1(C)N=C(N)N=C(N)N1c1cccc(Cl)c1
69,COc1cc(cc(OC)c1OC)N(C)Cc1cnc2nc(N)nc(N)c2c1
70,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(Cl)cc1
71,COc1cc(cc(OC)c1OC)N(C)Cc1cnc2nc(N)nc(N)c2n1
72,CN(Cc1ccc2nc(N)nc(N)c2n1)c1ccc(Cl)cc1
73,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC
74,CN(Cc1cnc2nc(N)nc(N)c2c1C)c1ccc(Cl)cc1
75,CCc1nc(N)nc(N)c1-c1ccc(Cl)c(c1)C(=O)c1ccccc1
76,CCc1nc(N)nc(N)c1-c1ccc(Br)cc1
77,CCc1nc(N)nc(N)c1-c1cccc(Cl)c1
78,COc1ccc(NCc2cnc3nc(N)nc(N)c3c2C)cc1
79,COc1cc(OC)c2nc(N)nc(N)c2c1
80,CC(C)(C)OC(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N[C@@H](Cc1ccccc1)C(N)=O
81,CC(C)(C)OC(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N[C@@H](Cc1ccccc1)C(O)=O
82,NC(=N)NCCC[C@@H]1NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2ccccc2)NC1=O
83,NC(=N)NCCC[C@@H]1NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2ccccc2)NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2ccccc2)NC1=O
84,NC(=N)NCCC[C@@H]1NC(=O)[C@@H]2CCCN2C(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2ccccc2)NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2ccccc2)NC1=O
85,NC(=N)NCCC[C@@H]1NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2ccccc2)NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2ccc(O)cc2)NC1=O
86,NC(=N)NCCC[C@@H]1NC(=O)[C@@H]2CCCN2C(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](Cc2ccccc2)NC1=O
87,CC(C)(C)OC(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N[C@@H](Cc1cnc[nH]1)C(O)=O
88,CC(C)(C)OC(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N[C@@H](Cc1cnc[nH]1)C(N)=O
89,NC(=N)NCCC[C@@H]1NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2ccccc2)NC(=O)[C@@H]2CCCN2C(=O)[C@@H](Cc2ccccc2)NC1=O
90,C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@]34C)[C@@H]1CCC2=O
91,NC(=N)NCCC[C@@H]1NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](Cc2ccccc2)NC1=O
92,C[C@]12CC[C@H]3[C@@H](CCc4cc(O)c(O)cc34)[C@@H]1CC[C@@H]2OC(C)=O
93,C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@]34C)[C@@H]1CC[C@@H]2O
94,C[C@]12CC[C@H]3[C@@H](CCc4cc(O)c(O)cc34)[C@@H]1CCC2=O
95,NC(=N)NCCC[C@@H]1NC(=O)[C@@H]2CCCN2C(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2ccccc2)NC(=O)[C@@H]2CCCN2C1=O
96,C[C@]12CC[C@H]3[C@@H](CCc4cc(O)c(O)cc34)[C@@H]1CC[C@@H]2NS(=O)(=O)c1ccccc1
97,NC(=N)NCCC[C@@H]1NC(=O)[C@@H]2CCCN2C(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2ccccc2)NC(=O)CNC1=O
98,C[C@]12CC[C@H]3[C@@H](CCc4cc(O)c(O)cc34)[C@@H]1CC[C@@]2(C)C
99,C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@]34C)[C@@H]1CC[C@@H]2OC(C)=O
100,COc1cc(cc(OC)c1OC)C(=O)N1CCC(CC1)c1nc(c([nH]1)-c1ccccc1)-c1ccccc1
101,COC(=O)C1C(C(C(=O)OC(C)(C)C)=C(C)N=C1C)c1cccc(c1)-c1ccccc1
102,COC(=O)C1C(C(C(=O)OC(C)(C)C)=C(C)NC(C)=C1C(=O)OC(C)(C)C
103,COc1cc(cc(OC)c1OC)C(=O)N1CCC(CC1)c1nc(c([nH]1)-c1ccccc1)-c1ccccc1Cl
104,COc1cc(cc(OC)c1OC)C(=O)N1CCC(CC1)c1nc(c([nH]1)-c1ccccc1)-c1ccccc1C
105,COc1cc(cc(OC)c1OC)C(=O)N1CCC(CC1)c1nc(c([nH]1)-c1ccccc1)-c1ccccc1OC
106,COc1cc(cc(OC)c1OC)C(=O)N1CCC(CC1)c1nc(c([nH]1)-c1ccccc1)-c1ccccc1F
107,COc1cc(cc(OC)c1OC)C(=O)N1CCC(CC1)C(c1ccccc1)c1ccccc1
108,COC(=O)C1C(C(C(=O)OC(C)(C)C)=C(C)N=C1C)c1ccc(cc1)-c1ccccc1
109,COc1cc(cc(OC)c1OC)C(=O)N1CCC(CC1)c1cc(cc(c1)C(F)(F)F)-c1ccccc1
110,COc1cc(cc(OC)c1OC)C(=O)N1CCC(CC1)c1c[nH]c2ccc(Cl)cc12
111,COC(=O)C1C(C(C(=O)OC(C)(C)C)=C(C)N=C1C)c1cccc(OC)c1
112,COC(=O)C1C(C(C(=O)OC(C)(C)C)=C(C)N=C1C)c1ccccc1Cl
113,COc1cc(cc(OC)c1OC)C(=O)N1CCC(CC1)c1nc2ccccc2[nH]1
114,COC(=O)C1C(C(C(=O)OC(C)(C)C)=C(C)N=C1C)c1ccccc1
115,COC(=O)C1C(C(C(=O)OC(C)(C)C)=C(C)N=C1C)c1ccccc1F
116,COc1cc(cc(OC)c1OC)C(=O)N1CCC(CC1)c1nc2ccccc2n1Cc1ccccc1
117,COc1cc(cc(OC)c1OC)C(=O)N1CCC(CC1)c1c[nH]c2ccccc12
118,COC(=O)C1C(C(C(=O)OC(C)(C)C)=C(C)N=C1C)c1ccccc1OC
119,COc1cc(cc(OC)c1OC)C(=O)N1CCC(CC1)N1C(=O)COc2ccccc12
120,CC(C)C[C@H](NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@@H](NC(C)=O)C(C)C)C(=O)N[C@@H]([C@@H](C)CC)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N[C@@H](
121,CC(C)C[C@H](NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](CCC(N)=O)NC(C)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(N)=O
122,CC(C)C[C@H](NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](CCC(N)=O)NC(C)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(N)=O
123,CC(C)C[C@H](NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@@H](NC(C)=O)C(C)C)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N[C@@H](CCCNC(N)=N)C(=O)NCc1ccc(cc1)C(N)=N
124,CC(C)C[C@H](NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](CCC(N)=O)NC(C)=O)C(N)=O
125,CC(C)C[C@H](NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](CCC(N)=O)NC(C)=O)C(=O)N[C@@H](CCC(N)=O)C(N)=O
126,CC(C)C[C@H](NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](CCC(N)=O)NC(C)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(N)=O
127,CC(C)C[C@H](NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@@H](NC(C)=O)C(C)C)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N[C@@H](CCC(N)=N)C(=O)N[C@@H](CCCNC(N)=N)C(=O)NCc1ccc(cc1)C(N)=N
128,CC(C)C[C@H](NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](CCC(N)=O)NC(C)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(N)=O
129,CC(C)C[C@H](NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@@H](NC(C)=O)C(C)C)C(=O)N[C@@H]([C@@H](C)CC)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N[C@@H](CCC(
130,CC(C)C[C@H](NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](CCC(N)=O)NC(C)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N
131,CC(C)C[C@H](NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@@H](NC(C)=O)C(C)C)C(=O)N[C@@H]([C@@H](C)CC)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N[C@@H](CCCNC(N)=N)C(=O)NCc1ccc(cc1)C(
132,CC(C)C[C@H](NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](CCC(N)=O)NC(C)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)
133,CC(C)C[C@H](NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](CCC(N)=O)NC(C)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=N)C(=O)N[C@@H](CCC(N)=O)
134,CC(C)C[C@H](NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@@H](NC(C)=O)C(C)C)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCCNC(N)=N)C(=O)NCc1ccc(cc1)C(N)=N
135,CC(C)C[C@H](NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@@H](NC(C)=O)C(C)C)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N[C@@H](CCCN=C(N)N)C(=O)NCc1ccc(cc1)C(N
136,CC(C)C[C@H](NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@@H](NC(C)=O)C(C)C)C(=O)N[C@@H]([C@@H](C)CC)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N[C@@H](CCCCN)
137,CC(C)C[C@H](NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@@H](NC(C)=O)C(C)C)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCCNC(N)=N)C(=O)NCc1ccc(cc1)C(N)=N
138,CC(C)C[C@H](NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](CCC(N)=O)NC(C)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCCN=C(N)N)C(=O)NCc1ccc(cc1)C(N)=
139,CC(C)C[C@H](NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@@H](NC(C)=O)C(C)C)C(=O)N[C@@H]([C@@H](C)CC)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N[C@@H](CCCN=C(N)N)C(=O)NCc1ccc(cc1)
140,COc1cc(ccc1Nc1ncc(Cl)c(Nc2ccccc2S(=O)(=O)C(C)C)n1)N1CCC(CC1)N1CCN(C)CC1
141,COc1cc(ccc1Nc1ncc(Cl)c(Nc2ccccc2S(=O)(=O)C(C)C)n1)N1CCC(CC1)N1C(=O)c2ccccc2C1=O
142,COc1cc(ccc1Nc1ncc(Cl)c(Nc2ccccc2S(=O)(=O)C(C)C)n1)N1CCN(C)CC1
143,C[C@H](NC(=O)[C@@H](N)Cc1ccc(O)cc1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](Cc1ccc(O)cc1)C(N)=O
144,C[C@H](NC(=O)[C@@H](N)Cc1ccc(O)cc1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](Cc1ccccc1)C(N)=O
145,C[C@H](NC(=O)[C@@H](N)Cc1ccc(O)cc1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](Cc1ccccc1)C(O)=O
146,C[C@H](NC(=O)[C@@H](N)Cc1ccc(O)cc1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](Cc1ccc(O)cc1)C(O)=O
147,C[C@H](NC(=O)[C@@H](N)Cc1ccc(O)cc1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(O)=O
148,C[C@H](NC(=O)[C@@H](N)Cc1ccccc1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](Cc1ccc(O)cc1)C(N)=O
149,C[C@H](NC(=O)[C@@H](N)Cc1ccc(O)cc1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(N)=O
150,C[C@H](NC(=O)[C@@H](N)Cc1ccccc1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](Cc1ccccc1)C(O)=O
151,C[C@@H](NC(=O)[C@@H](N)Cc1ccc(O)cc1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](Cc1ccc(O)cc1)C(N)=O
152,COc1cc(ccc1Nc1ncc(Cl)c(Nc2ccccc2S(=O)(=O)C(C)C)n1)N1CCC(CC1)N1C(=O)OCc2ccccc12
153,C[C@@H](NC(=O)[C@@H](N)Cc1ccc(O)cc1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](Cc1ccccc1)C(O)=O
154,C[C@@H](NC(=O)[C@@H](N)Cc1ccc(O)cc1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](Cc1ccccc1)C(N)=O
155,COc1cc(ccc1Nc1ncc(Cl)c(Nc2ccccc2S(=O)(=O)C(C)C)n1)N1CCN(CC1)C(C)=O
156,C[C@H](NC(=O)[C@@H](N)Cc1ccccc1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](Cc1ccccc1)C(N)=O
157,COc1cc(ccc1Nc1ncc(Cl)c(Nc2ccccc2S(=O)(=O)C(C)C)n1)N1CCN(CC1)C(=O)OC(C)(C)C
158,COc1cc(ccc1Nc1ncc(Cl)c(Nc2ccccc2S(=O)(=O)C(C)C)n1)N1CCC(CC1)N(C)C
159,COc1cc(ccc1Nc1ncc(Cl)c(Nc2ccccc2S(=O)(=O)C(C)C)n1)[N+]([O-])=O
160,Nc1ncnc2n(cnc12)[C@@H]1O[C@H](COP(O)(=O)OP(O)(=O)OP(O)(O)=O)[C@@H](O)[C@H]1O
161,Nc1ncnc2n(cnc12)[C@@H]1O[C@H](COP(O)(=O)OP(O)(O)=O)[C@@H](O)[C@H]1O
162,Nc1ncnc2n(cnc12)[C@@H]1O[C@@H](COP(O)(=O)OP(O)(O)=O)[C@@H](O)[C@H]1O
163,Nc1ncnc2n(cnc12)[C@@H]1O[C@H](COP(O)(=O)OP(O)(O)=O)[C@@H](O)[C@@H]1O
164,Nc1ncnc2n(cnc12)[C@@H]1O[C@H](COP(O)(=O)OP(O)(=O)OP(O)(O)=O)[C@H](O)[C@@H]1O
165,Nc1ncnc2n(cnc12)[C@@H]1O[C@H](COP(O)(=O)OP(O)(=O)OP(O)(O)=O)[C@H](O)[C@H]1O
166,Nc1ncnc2n(cnc12)[C@@H]1O[C@H](COP(O)(=O)OP(O)(O)=O)[C@H](O)[C@H]1O
167,Nc1ncnc2n(cnc12)[C@@H]1O[C@H](COP(O)(=O)OP(O)(O)=O)[C@H](O)[C@@H]1O
168,Nc1ncnc2n(cnc12)[C@@H]1O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]1O
169,Nc1ncnc2n(cnc12)C1O[C@H](COP(O)(=O)OP(O)(=O)OP(O)(O)=O)[C@@H](O)[C@H]1O
170,Nc1ncnc2n(cnc12)C1O[C@@H](COP(O)(=O)OP(O)(=O)OP(O)(O)=O)[C@@H](O)[C@H]1O
171,Nc1ncnc2n(cnc12)[C@@H]1O[C@@H](COP(O)(=O)OP(O)(O)=O)[C@@H](O)[C@@H]1O
172,Nc1ncnc2n(cnc12)[C@@H]1O[C@@H](COP(O)(=O)OP(O)(=O)OP(O)(O)=O)[C@H](O)[C@H]1O
173,Nc1ncnc2n(cnc12)[C@@H]1O[C@H](COP(O)(=O)OP(O)(O)=O)[C@@H](O)[C@H]1OP(O)(O)=O
174,Nc1ncnc2n(cnc12)C1O[C@H](COP(O)(=O)OP(O)(O)=O)[C@@H](O)[C@H]1O
175,Nc1ncnc2n(cnc12)C1O[C@H](COP(O)(=O)OP(O)(=O)OP(O)(O)=O)[C@@H](O)[C@@H]1O
176,Nc1ncnc2n(cnc12)[C@@H]1O[C@@H](COP(O)(=O)OP(O)(O)=O)[C@H](O)[C@H]1O
177,Nc1ncnc2n(cnc12)[C@@H]1O[C@@H](COP(O)(O)=O)[C@@H](O)[C@H]1O
178,Nc1ncnc2n(cnc12)C1O[C@@H](COP(O)(=O)OP(O)(O)=O)[C@@H](O)[C@H]1O
179,Nc1ncnc2n(cnc12)[C@@H]1O[C@@H](COP(O)(=O)OP(O)(O)=O)[C@H](O)[C@@H]1O
180,CC[C@H](C)[C@@H]1NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H](Cc2cnc[nH]2)NC(=O)[C@H](Cc2cnc[nH]2)NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2ccccc2)NC1=O
181,CC[C@H](C)[C@@H]1NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H](Cc2cnc[nH]2)NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2ccccc2)NC1=O
